sub_region;eez_indicator
27.2.a;UK
27.1.a;RFMO
27.1.b;COAST
27.2.a;COAST
27.2.a;RFMO
27.2.b;COAST
27.2.b;RFMO
27.4.a;UK
27.4.b;UK
27.4.b;EU
27.4.c;EU
27.4.c;UK
27.5.a;UK
27.5.b;UK
27.5.b;COAST
27.5.b;RFMO
27.6.a;EU
27.6.a;UK
27.6.b;EU
27.6.b;UK
27.6.b;RFMO
27.7.a;EU
27.7.a;UK
27.7.c;EU
27.7.c;RFMO
27.7.d;EU
27.7.d;UK
27.7.e;EU
27.7.e;UK
27.7.f;UK
27.7.g;EU
27.7.g;UK
27.7.h;UK
27.7.j;EU
27.7.j;UK
27.7.k;UK
27.7.k;RFMO
27.12;EU
27.14.a;RFMO
27.14.b;COAST
27.14.b;RFMO
27.8.d;EU
27.8.d;UK
27.8.d;RFMO
27.8.e;EU
27.8.e;RFMO
27.9.b;EU
27.9.b;RFMO
27.10.a;EU
27.10.a;RFMO
34.1.1;EU
34.1.1;COAST
34.1.1;RFMO
34.1.2;EU
34.1.2;COAST
34.1.2;RFMO
34.1.3;EU
34.1.3;COAST
34.1.3;RFMO
34.2.0;EU
34.2.0;COAST
34.2.0;RFMO
34.2;EU
34.2;COAST
34.2;RFMO
